ID Industry Group,Industry Group,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Average Wage,Average Wage Appx MOE,yocpop RCA,Record Count,Slug Industry Group,CIP2,ID CIP2
"4241","Paper & paper products merchant wholesalers",2016,"2016","true","true",742,668.7681273429704,149959.9474393531,132132.56925581602,0.0001927202647176466,43,"paper-paper-products-merchant-wholesalers","Engineering","14"
"213","Support activities for mining",2015,"2015","true","true",32350,4415.309974986688,149170.07190108192,15137.121692970793,0.008678333995944924,1383,"support-activities-for-mining","Engineering","14"
"5112","Software publishing",2016,"2016","true","true",16818,3183.7282790093595,148743.4270424545,18119.639509880333,0.004368152846390002,851,"software-publishing","Engineering","14"
"532M2","Other consumer goods rental",2020,"2020","true","true",1071,803.4667797830507,148368.86274509804,136123.48013169112,0.0002400266785955369,55,"other-consumer-goods-rental","Engineering","14"
"213","Support activities for mining",2014,"2014","true","true",29029,4182.582686587439,148218.0989699955,15578.233947622282,0.008049153936291095,1288,"support-activities-for-mining","Engineering","14"
"51913","Internet publishing, broadcasting & web search portals",2014,"2014","true","true",5158,1763.2228625424643,148173.0248158201,36703.149961731484,0.0014302089635671042,261,"internet-publishing-broadcasting-web-search-portals","Engineering","14"
"532M2","Other consumer goods rental",2019,"2019","true","true",1122,822.3743098486415,147620.9393939394,131606.7724936547,0.00026064903468095695,55,"other-consumer-goods-rental","Engineering","14"
"4241","Paper & paper products merchant wholesalers",2020,"2020","true","true",928,747.9066370976567,147412.5474137931,110246.8049725745,0.00020797829854029713,43,"paper-paper-products-merchant-wholesalers","Engineering","14"
"2121","Coal mining",2019,"2019","true","true",2080,1119.7043444639392,147240.11346153845,54432.742551515905,0.00048319963648519654,105,"coal-mining","Engineering","14"
"3162","Footwear manufacturing",2015,"2015","true","true",675,637.8603212166879,147164.85185185185,98807.87278712337,0.000181078066375976,30,"footwear-manufacturing","Engineering","14"
"3341","Computer & peripheral equipment manufacturing",2017,"2017","true","true",31864,4382.042791384453,145778.82218177253,13522.764951723557,0.007958799276354718,1619,"computer-peripheral-equipment-manufacturing","Engineering","14"
"522M","Nondepository credit & related activities",2018,"2018","true","true",25592,3927.2507716294635,145637.119998437,19692.733286179086,0.006157249986226065,1231,"nondepository-credit-related-activities","Engineering","14"
"52M1","Banking & related activities",2020,"2020","true","true",53213,5662.466714865115,145574.340593464,13090.257659203138,0.011925807327828483,2403,"banking-related-activities","Engineering","14"
"486","Pipeline transportation",2017,"2017","true","true",4747,1691.520170598358,145393.66547293027,34903.64010219323,0.001185677258500372,226,"pipeline-transportation","Engineering","14"
"486","Pipeline transportation",2016,"2016","true","true",4594,1664.037730322597,145331.53069220722,35871.24927903653,0.0011932033640335157,224,"pipeline-transportation","Engineering","14"
"2121","Coal mining",2020,"2020","true","true",1940,1081.3661770097367,145323.72164948453,52083.35796337613,0.00043478221893122464,92,"coal-mining","Engineering","14"
"334M2","Electronic component & product manufacturing, n.e.c. ",2018,"2018","true","true",135522,9033.937714294894,145222.7778368088,6708.216866004639,0.03260561240361553,6926,"electronic-component-product-manufacturing-nec","Engineering","14"
